duration_minutes,duration_seasons,type,title,date_added,release_year,rating,description,show_id
88,,Movie,Yoga Hosers,12-02-2016,2016,PG-13,"With an all-important high school party at stake, two teen yoga fanatics enlist a man hunter to help fight an army of monsters created by Nazis.",80098491
153,,Movie,Dabbe 6: The Return,4/17/2019,2015,TV-MA,"A cardiologist tries to pinpoint the cause of her mother's sudden death as her sister, who witnessed it, claims malevolent demons are at play.",81043542
82,,Movie,Why We Fight: The Battle of Russia,3/31/2017,1943,TV-14,This installment of Frank Capra's acclaimed documentary series highlights the need for a Russo-American alliance to defeat the Nazis.,70013050
81,,Movie,Forbidden Games: The Justin Fashanu Story,12-01-2017,2017,TV-14,"This documentary chronicles the tragic, true story of Justin Fashanu, the first – and only – openly gay man to have played professional soccer.",80191930
,4,TV Show,Rita,1/16/2018,2017,TV-MA,"Independent, outspoken and adored by her students, schoolteacher Rita fares less well with adults in this comedy-drama from Denmark.",70285368
66,,Movie,Enissa Amani: Ehrenwort,4/26/2018,2018,TV-MA,"Live from Hamburg, Iranian-German comedian Enissa Amani shares her take on German engineering, tax deductions and online fan-mail etiquette.",80217772
101,,Movie,Christmas Survival,11-01-2019,2018,TV-MA,"With Christmas just around the corner, sisters Miranda and Lyla bring their families to their childhood home, where rivalries don't take a holiday.",81074542
107,,Movie,Spanish Affair 2,11-01-2016,2015,NR,Spanish provincialism is put into the spotlight as a man from the Basque Country embarks on a mission to keep his daughter from marrying a Catalan.,80093212
,1,TV Show,Mak Cun,9/29/2017,2015,TV-PG,A woman with an entrepreneurial spirit takes life into her own hands by starting a beauty cream business that inspires other women to take chances.,80163293
133,,Movie,Asura: The City of Madness,2/15/2018,2016,NR,"Caught between a corrupt mayor and a prosecutor intent on exposing political depravity, a police detective must decide whose side he's on.",80144372
93,,Movie,Would You Rather,06-05-2019,2013,TV-MA,"In need of cash to help her sick brother, a young woman agrees to take part in a lethal winner-takes-all parlor game hosted by a sadistic millionaire.",70270388
81,,Movie,Lavell Crawford: Can a Brother Get Some Love?,08-02-2016,2011,NR,Last Comic Standing  runner-up Lavell Crawford lords over a hometown crowd at St Louis s Orpheum Theatre  raking in the love  and the laughs.,70204316
131,,Movie,National Treasure,06-01-2018,2004,PG,"Modern treasure hunters search for a chest of riches rumored to have been stashed away by George Washington, Thomas Jefferson and Benjamin Franklin.",70011206
117,,Movie,Camp X-Ray,1/14/2017,2014,R,"Fresh Army recruit Amy Cole is assigned to Guantanamo Bay's Camp X-Ray, where she forms a surprising bond with one of the prisoners in her charge.",70298946
,1,TV Show,DreamWorks Kung Fu Panda Awesome Secrets,07-01-2019,2008,TV-PG,"In this pair of adventures, Po tells the story of how masters Thundering Rhino, Storming Ox and Croc met and takes on Shifu's biggest challenge yet.",70241791
19,,Movie,Pocoyo & Cars,05-01-2018,2015,TV-Y,"Pocoyo gears up for exciting car races and learns that friends, teamwork and imagination are what matter the most.",80235766
117,,Movie,Firebrand,2/22/2019,2019,TV-MA,"While she successfully advocates for her female clients in difficult divorce cases, a lawyer’s trauma from sexual assault impacts her own marriage.",81026327
49,,Movie,Sebastián Marcelo Wainraich,1/26/2018,2018,TV-MA,"Argentine comedian Sebastián Wainraich highlights the comedy in everyday life, from minibars to reasons why funerals are better than weddings.",80192138
118,,Movie,Hokkabaz,03-10-2017,2006,TV-MA,"Trying to resurrect his career, not-so-talented magician Iskender goes on tour, but things get iffy when one of his illusions works a little too well.",80134524
81,,Movie,West Coast,10/28/2016,2016,TV-MA,Four small-town French teens who style themselves after American rappers set out to avenge a classroom insult and end up on a mind-blowing adventure.,80123742
87,,Movie,Under the Eiffel Tower,9/23/2019,2018,TV-MA,An American man in the midst of a mid-life crisis travels to the French countryside to find a new lease on life.,80208906
94,,Movie,Soul to Keep,07-01-2019,2019,TV-MA,"Two siblings invite friends to their inherited, remote country home, but the fun stops when the group summons a demonic force from an old spellbook.",81130297
159,,Movie,Baahubali: The Beginning (Tamil Version),08-07-2017,2015,TV-14,Villagers in the kingdom of Mahismati rescue a baby who is destined to embark on a heroic quest in this Tamil version of S.S. Rajamouli's epic.,80204118
120,,Movie,Coffee with D,11-01-2017,2017,TV-PG,Low TV ratings drive a well-known journalist to concoct a plan to interview a notorious underworld figure who is also a suspected terrorist.,80201820
109,,Movie,Terminator 3: Rise of the Machines,01-01-2020,2003,R,"Ten years after John Connor saved Earth from Judgment Day, he encounters T-X, a robotic assassin ordered to finish what T-1000 started.",60029154
117,,Movie,Como caído del cielo,12/24/2019,2019,TV-14,"To earn his place in heaven, legendary Mexican actor-singer Pedro Infante is sent back to Earth in an impersonator's body to mend his womanizing ways.",80244123
94,,Movie,Solo Con Tu Pareja,09-01-2018,1991,NR,A yuppie playboy looks for a quick death after being falsely diagnosed with AIDS by a nurse who was once cheated by the young Casanova.,70055221
102,,Movie,Deliha,03-10-2017,2014,TV-14,"Short on sense but long on self-confidence, dotty Deliha sets her sights on a hunky photographer who opens up shop in her neighborhood.",80134330
143,,Movie,The Perfect Dictatorship,06-01-2015,2014,NR,"After accepting a colossal bribe, a powerful TV conglomerate gins up fake news stories to enhance the image of a notoriously corrupt politician.",80032640
88,,Movie,Mercy Black,3/31/2019,2019,TV-14,"Fifteen years after a traumatic crime, a woman is released from psychiatric care and tries to drive out an evil spirit that continues to haunt her.",81038545
71,,Movie,Sarah Silverman A Speck of Dust,5/30/2017,2017,TV-MA,"In her first comedy special post-health scare, Sarah Silverman shares a mix of fun facts, sad truths and yeah-she-just-went-there moments.",80133554
97,,Movie,Princess Cyd,02-05-2018,2017,TV-MA,A teenager moves to Chicago for the summer and finds a poignant mentor in her aunt and a sweet love interest in a girl who works in the neighborhood.,80201497
81,,Movie,King Jack,07-01-2016,2015,NR,"Already coping with a bully, a mercurial older brother and summer school, 15-year-old Jack is saddled with his young cousin for an eventful weekend.",80053140
,1,TV Show,AMO,04-09-2018,2017,TV-MA,"Despite the Philippine government's crackdown on narcotics, high schooler Joseph expands his drug running while his cop uncle profits from corruption.",80218962
14,,Movie,Buddy Thunderstruck: The Maybe Pile,7/14/2017,2017,TV-PG,"Champion truck-racing dog Buddy and his best friend, ferret mechanic Darnell, paw through the ""maybe pile"" and test out a bunch of crazy stunts.",80149064
150,,Movie,Kyo Kii... Main Jhuth Nahin Bolta,5/16/2019,2001,TV-PG,The life and career of a lawyer are thrown into chaos when his son's wish magically renders him incapable of telling a lie.,60021906
,1,TV Show,Dueños del paraíso,2/25/2017,2015,TV-14,"When Anastasia Cardona's drug lord husband is murdered, she inherits his cocaine empire, leading to a life of wealth, power, violence and betrayal.",80046599
185,,Movie,Dil Chahta Hai,12/15/2019,2001,TV-14,"Inseparable childhood friends Akash, Sameer and Siddharth are just out of college. Nothing comes between them – until they each fall in love.",60021525
